file,transcript_standard,transcript_disfluent
sw02015_B_20.wav,"Yeah, yeah. No, I agree with you there. They want to choose that particular religion, and that's fine with me too. As long as they don't try and pull me in and drag me in. And I don't like the way that they do it either. And it's their mission as they do it. They go door to door and they go out into the public. And they actually have the teenagers serving two years like you would say in an army. And two years in going around and doing missionary type work. And I don't know, I just don't particularly care for that at all. And that's one thing that I feel really strongly about though is people coming up to my door, especially religious organizations, and wanting to try and get me to join or become interested in their religion because I have my own.","Yeah, yeah. No, I agree with you there. I mean, if they want to choose that particular religion, then that's fine with me too. You know, as long as they don't try and pull me in and drag me in. And I don't like the way that they do it either. And it's their mission as they do it, they go door to door and they go out into the public. And they actually have the teenagers serving two years like you would say like an army. And two years in going around and doing missionary type work. And I don't know, I just don't particularly care for that at all. And that's one thing that I feel really strongly about though is, you know, people coming up to my door, especially religious organizations, and wanting to, you know, to try and get me to join or, you know, become interested in their religion."
sw02015_B_22.wav,"Yeah, that's true. I didn't go that far, but I probably could do the same thing. I don't have a storm door, but I'm sure I could rig up something. But you know, I don't think that that would stop people. It's like they see that word and it says go, instead of stop.","Yeah, that's true. Yeah, no, I didn't go that far, but yeah, I probably could do the same thing. You know, I don't have a storm door, but I'm sure I could rig up something. But you know, I don't think that that would stop people. It's like they see that word and it says go instead of stop. Oh, goodness."
sw02015_B_30.wav,"I know, but I remember you talked about something. You started off and you said, well, let me think. You talked about the telephone calls, people coming and soliciting selling things at the door. You said something else. I can't remember what it was. And I thought, yeah, that kind of touched a nerve right there, but we got to talking about the people coming to the front door.","I remember you talked about something. You started off and you said, ""Well, let me think."" You talked about the telephone calls, people coming and soliciting, selling things at the door. You said something else. I can't remember what it was. And I thought, yeah, that kind of touched a nerve right there, but we got to talking about the people coming to the front door."
sw02018_A_86.wav,"Both of ours is school-aged, but we don't want to miss any of those PTAs.","Our oldest is school age, but we don't want to miss any of those PTAs."
sw02018_B_61.wav,"Or a lot of women I know now, one of my supervisors when she went on LOA to have her baby, we hooked up a terminal at her house and we could send her messages and she kept in touch like that.","Or a lot of women I know now and one of my supervisors when she went on LOA to have her baby, we hooked up a terminal at her house and we could send her messages and she kept in touch like that."
sw02020_A_3.wav,"Well, I mostly listen to popular music. I listen to it all the time in my car, so I tend to be one of those people who switches stations a lot because I don't like commercials. But I find myself listening to popular music.","Well, I mostly listen to popular music. I listen to it all the time in my car, so I tend to be one of those people who switches stations a lot because I don't like commercials. But I find myself listening to popular music"
sw02020_B_104.wav,"Well, you know, really that's not world music, but what Paul Simon's doing I think is great because he's using what they call eclectic, drawing from a lot of different sources and making a synthesis of a new type of music.","Well, you know, really that's not world music, but what Paul Simon's doing I think is great because he's, you know, I think that using a, I guess what they call it is eclectic, you know, drawing from a lot of different sources and making a synthesis of a new type of music."
sw02020_B_110.wav,"For example, let's say you're taking like an original Brazilian form of music and with a certain style and then you try to make it a little bit more listenable for let's say another audience, let's say a North American.","For example, let's say you're taking like an original Brazilian form of music with a certain style, and then you try to make it a little bit more listenable for let's say another audience, let's say a North American."
sw02020_B_118.wav,"And it's the same way with, you know, world music takes the forms that have really been, I guess, the best example or the cream of the crop, I guess you could say, and then taking those qualities and then applying in the styles that are really, that are extremely enjoyable.","I think, you know, and it's the same way with, you know, world music takes the forms that have really been, I guess, you know, the best example or, you know, the cream of the crop, I guess you could say, and then taking those qualities and then applying in the styles that are really, that are extremely enjoyable."
sw02020_B_120.wav,"Yeah, it becomes a kind of music of its own. I mean, when you listen to it, I think they use electronic and acoustic interchangeably.","Yeah, it becomes a kind of music of its own. When you listen to it, I think that they use electronic and acoustic interchangeably."
sw02020_B_20.wav,"Well, I don't really have anything against rap music. The one thing I do object to about rap music is when it becomes militant or if it's violence-oriented.","Yeah, well, I don't really have anything against rap music. The one thing I do object to about rap music is when it becomes militant or if it's violence-oriented."
sw02020_B_24.wav,"I have strong objections to that. Actually, I listened to one time, I remember this was back even I would say about 10 or 15 years ago.","I have strong objections to that. Actually, I listened to one time, I remember, this was back even I would say about ten or fifteen years ago."
sw02020_B_32.wav,And the piece of music was about I think about 40 or 50 years old.,"And the piece of music was about, I think, about 40 or 50 years old. And it was incredible, I mean, the parallels, you know, between"
sw02020_B_34.wav,"And you listen a lot, if you hear a lot of old gospel, especially the black gospel, you can really pick it up.","And if you hear a lot of old gospel, especially the black gospel, you can really pick it up."
sw02020_B_64.wav,"I mean, I've heard some songs that I just thought were horrendous cover versions.","really old. I mean, so many different songs. I mean, like the whole thing about cover versions a lot of times. I mean, I've heard some songs that I just thought were horrendous cover versions and I'm like, you know, I don't want to listen to this. Because, you know, you think of the original, it's like..."
sw02022_A_21.wav,"That's a good choice. We're trying to do that this year. We've budgeted the money that we used to spend. We were spending on a COTA account with TI, and then the money we were also buying stock with for that year. We've taken that this year and said we're going to pay off all of our credit cards.",That's a good choice. We're trying to do that this year. We've budgeted the money that we used to spend on a COTA account with TI and then money we were also buying stock with for that year. We've taken that this year and said we're going to pay off all of our credit card
sw02022_A_39.wav,"Yeah, mostly what we're doing, we've done the COTA account with TI where they put in so much a month or so much a paycheck.","Yeah, mostly what we're doing, we've done the Cota account with TI where they put in so much a paycheck and then they"
sw02022_A_45.wav,"Yeah. The other thing that we've done that was really nice to see, we had one of the financial companies, John Hancock Company, came out and their agents did a long-term analysis based on salary and what our goals were on a long-term budget in terms of retirement, kids' college, paying off the house, buying a different house, buying land.","Yeah. The other thing that we've done that was really nice to see, we had one of the financial companies, John Hancock Company, came out and their agents did a long-term analysis based on salary and what our goals were on a long-term budget in terms of retirement, kids' college, paying off the house, buying a different house, buying land."
sw02022_B_12.wav,"We've taken how much we have coming in each month, and then at the beginning of the year we sit down and determine how much we could spend. We've made up different accounts like we've set a budget for each household expenses or food and clothing and entertainment and then our own fun money and just stuff like that. And then we write down each time we spend something, we write down in the book and at the end of the month we tally it up to see how close we've, you know, we try to stay within a certain budget.","We've taken how much we have, you know, write down how much we have coming in each month. And then at the beginning of the year, we sat down and determined how much we could spend. We made up different accounts like, you know, we've set a budget for each, you know, household expenses or food and clothing and entertainment and our own fun money and just stuff like that. And then we write down each time we spend something, we write down in a book and at the end of the month we tally it up to see how close we've, you know, we try to stay within a certain budget."
sw02022_B_18.wav,"Yeah, I have to stay within it. If something comes up and you can't stay within it, then we have a budget for it, like we call our slush fund or something. If something unexpected comes up, then you don't feel so strapped.","Yeah, yeah, I have to stay within it. So I, you know, and then we have that, you know, if you can't stay, if something comes up and you can't stay within it, then we have a budget for, you know, like we call our slush fund or something. If something unexpected comes up, then you're not, you know, you don't feel so strapped."
sw02022_B_52.wav,"That sounds interesting. We've never done...you know, determined how much we need if something were to...",Uh-huh. That sounds interesting. We just had our life insurance come out and he determined how much we need if something were to...
sw02022_B_54.wav,"Right. Yeah, you know, if something happened to him I wouldn't stay in Texas, I would sell the house and move back home to my hometown. I wouldn't stay here in Texas. I don't know what he would do.","Right. Yeah, you know, if something happened to him I wouldn't stay in Texas. I would sell the house and move back home, you know, to my hometown, and I wouldn't stay here in Texas. So, you know, I don't know what he would do."
sw02024_A_15.wav,"And I guess I like a variety of things, lots of fiction type books. Right now I'm occasionally reading on a book about the Mardi Gras in New Orleans.","Oh, I guess I like a variety of things, lots of fiction type books. Right now I'm occasionally reading on a book about the Mardi Gras in New Orleans."
sw02024_A_35.wav,"Well, I don't know. I have attended some seminars that had some tapes that went with them, but I guess not so much books, although they sometimes have manuals and things. But they would be things on like how to be successful and sort of talking to yourself, you know, getting yourself in gear to sort of pull yourself up by your bootstraps and do what you really want to do, convincing you that you need to get on with it.","Well, I don't know. I have attended some seminars that had some tapes that went with them, but I guess not so much books, although they sometimes have manuals and things. But they would be things on like how to be successful and sort of talking to yourself, you know, getting yourself in gear to sort of pull yourself up by your bootstraps and do what you really want to do, convincing you that you need to get on with it."
sw02024_B_18.wav,"I bet that would be rather interesting. That's self-improvement. That's kind of a hobby, but it is self-improvement from the standpoint of probably relaxing.","I bet that would be rather interesting. That's self-improvement, that's kind of a hobby but it is self-improvement from the standpoint of probably relaxing."
sw02024_B_4.wav,"I have a wide variety of hobbies, therefore my reading pleasures are quite wide. I get a charge out of Texas Highway, which is very colorful and not being a native of Texas, but being here 11 years have a tendency to find out about the different areas of the state.","I have a wide variety of hobbies, therefore my reading pleasures are quite wide. I get a charge out of Texas Highway, which is very colorful and, not being a native of Texas, but being here 11 years, have a tendency to find out about the different areas of the state."
sw02024_B_8.wav,"Oh yeah, it's absolutely, it's great the way it's broken out, and you can set up little trips and day trips and things. It's pretty neat. Oh, I like photography, magazines, I don't take a subscription or anything like that. Things, oh, been an engineer in facilities, I do read a lot of building magazines and plant engineering magazines, and read up on different ways to do things, and energy management type of magazines, and kind of strange because it's not unusual to see an injury manual or something laying around the house.","Oh yeah, it's absolutely great the way it's broken out and you can set up little trips and day trips and things, it's pretty neat. Oh, I like photography. Magazines, I don't take a subscription or anything like that. Things, oh, been an engineer in facilities, I do read a lot of building magazines and plant engineering magazines and read up on different ways to do things and energy management type of magazines. Kind of strange because it's not unusual to see an engineering manual or something laying around the house"
sw02027_A_31.wav,"And these weren't even really full ones. I mean, they had a problem out here with it last summer wearing these shorts that were, you know, the real wide full ones, you know. And these weren't even those. These were like pretty short black, and they were very dressy. They were black velvet shorts, and she had on black hose and black heels, and she looked very, very nice.","And these weren't even really full ones. I mean, they had a problem out here with it last summer wearing these shorts that were, you know, the real wide full ones, you know, and these weren't even those. These were like pretty short black, and they were very dressy. They were black velvet shorts, and she had on black hose and black heels, and she looked very, very nice."
sw02027_A_65.wav,"I am. I work faster, I get things done faster than when I'm in a dress and heels. It's weird, but I can. I can get so much more done if I'm dressed comfortable.","I am. I work faster, I get things done faster than when I'm in a dress and heels. And it's weird but I can. I can get so much more done if I'm dressed comfortable."
sw02027_A_7.wav,"Yeah, I'm the same way you are. I kind of try to judge from day to day.","Yeah, you know, we're kind of that way too. I'm the same way you are. I kind of try to judge from day to day. I know, you know, where I am, we work a lot with the customers and we have a lot of government folks come in all the time. And, you know, if I know that they're going to be there, you know, I try to really watch it, like you say, you know, really dress."
sw02027_A_79.wav,"Well, I don't know. I just figure, you know, sometimes I worry about, you know, if I go in in pants, and I never, I never, ever, ever go in in a pair of jeans, you know. But I'll go in in pants. I mean, today I had on a pair of, you know, navy blue dress slacks and like a peach-colored top, and, you know, not cruddy, but not a dress either. And sometimes I wonder if stuff like that will hold you back, you know, if you don't dress in, you know, you're dressed for success business suits every day. If, you know, if upper management doesn't notice that and remember that later on, that, you know, I don't know if they do or not. You know, I see a lot of the managers, and they're in jeans, so.","Well, I don't know. I just figure, you know, sometimes I worry about, you know, if I go in in pants. And I never, ever, ever go in in a pair of jeans, you know. But I'll go in in pants. I mean, today I had on a pair of, you know, navy blue dress slacks and like a peach-colored top and, you know, not cruddy but not a dress either. And sometimes I wonder if stuff like that will hold you back, you know, if you don't dress and, you know, you're dressed for success business suits every day. You know, if upper management doesn't notice that and remember that later on. But, you know, I don't know if they do or not. You know, I see a lot of the managers and they're in jeans, so..."
sw02027_B_16.wav,"And at that point, the warehouse was over across the road and it wasn't air conditioned. And we were there like in the middle of the summer, it's unairconditioned, it was dusty and dirty. There was like a fan at the very end of the row and that was it. And so we didn't really know we weren't supposed to. We thought TI dress code was just dress appropriate to your job.","And at that point, the warehouse was over across the road and it wasn't air-conditioned. And we were there like in the middle of the summer, it's un-air-conditioned, it was dusty and dirty. There was like a fan at the very end of the row and that was it. And so we didn't really know we weren't supposed to. We thought TI dress code was just dress appropriate to your job."
sw02028_A_125.wav,"I'm actually in the air division and we monitor anything that comes out of the building. We do have customers that are concerned about any kind of workplace
and we take care of that. Within our requirement, we take care of everything, waste water, solid waste, recycling.","I'm actually in the air division and we monitor anything that comes out of the stack or out of a building. We do have customers that their concerns are in the workplace and we take care of that. Within our department we take care of everything, waste water, solid waste, recycling."
sw02028_A_147.wav,"And our chemical database will inhale every chemical and its concentration. And if anything ever happened, God forbid, you know, a building explosion or something like that, we'd be able to track chemicals from that building with our web.","And our chemical database will inherit every chemical and its concentration. And if anything ever happened, God forbid, you know, a building explosion or something like that, we'd be able to track chemicals from that building with our..."
sw02032_A_135.wav,"Nothing happened during the 70s. Everything happened during the 60s. The 70s, I don't know what they're called. The 80s are called the progressive years or the technology years because of all the computers and stuff.","Nothing happened during the '70s. Everything happened during the '60s. The '70s, I don't know what they're called. The '80s are called the progressive years or the technology years because of all the computers and stuff."
sw02032_A_39.wav,"But see, for example, what other bands consider really hard rock is like thrash metal, which all they do is they have this guitar and they just bang at the guitar and the guitar is set really low.","But see, for example, they have, see, what other bands consider like really hard rock is like thrash metal, which all they do is they have like this guitar and they just bang at the guitar and the guitar's set like really low."
sw02032_A_77.wav,"Yeah, they're still around, they got a new CD out, but I wouldn't buy it, because I like the old Rolling Stones, I don't like the new stuff.","Yeah, they're still around, they got a new CD out, but I wouldn't buy it. Because see what happens is, you always see, like I like the old Rolling Stones, I don't like the new stuff."
