filename,speaker,turn,generated-text
sw2005.mrg,A,81,"Yeah. Well, with my grandmother, I think it was such that she did not have the problem. She was very well aware, and her daughter came and visited her,"
sw2022.mrg,B,18,"Yeah, yeah, I have to stay within it. So I, you know, and then we have that, you know, if you can't stay, if something comes up and you can't stay within it, then we have a budget for it, you know, like we call our slush fund or something. If something unexpected comes up and you're not, you know, you don't feel so strapped,"
sw2020.mrg,B,110,"For example, let's say you're taking an original Brazilian form of music with a certain style, and then you try to make it a little bit more listenable for, let's say, another audience, let's say a North American audience."
sw2010.mrg,B,38,"It's suspenseful. I don't think it's very – I mean, there's not really any blood and guts in it or anything like that. It's more suspense. The other one, Silence of the Lambs, is kind of a gory movie if somebody's not into that kind of stuff. It's pretty graphic at points, but I think they're both excellent movies. Yeah."
sw2005.mrg,A,121,"Yeah. You know, it's interesting that a lot of the population in the United States is changing because now that so many more minorities, where they have had extended families for such a long time."
sw2005.mrg,A,37,"Yeah, I mean, for somebody who is, you know, for most of their life has not just merely had a farm, but had ten children, had a farm, ran everything because her husband was away in the coal mines,"
sw2018.mrg,A,86,"Oh, it is. You can't get young children. It is. Well, both of ours is school age, but we don't want to miss any of those PTAs and all of"
sw2027.mrg,A,31,"And these weren't even really full ones. I mean, they had a problem out here with it last summer, wearing these shorts that were, you know, the real wide, full ones, you know. And these weren't even those. These were, like, pretty short, black. I mean, they were very dressy. They were black velvet shorts, and she had on black hose and black heels, and she looked very, very nice."
sw2032.mrg,A,77,Yeah they're still around They got a new CD out But I wouldn't buy it Because see what happens is I like the old Rolling Stones I don't like the new stuff
sw2008.mrg,A,75,"This is pretty unseasonal, but at least, you know, it feels good. It gets everybody doesn't have cabin fever today. It's nice to get out."
sw2027.mrg,A,7,"Yeah. You know, we're kind of that way, too. I'm the same way you are. I kind of try to judge from day to day. I know, you know, where I am, we work a lot with the customers, and we have a lot of government folks come in all the time. And, you know, if I know that they're going to be there, you know, I try to really watch it and, like you say, you know, really dress."
sw2005.mrg,A,55,"whether it was just giving money or whether it was actually taking part in a lot of the decision-making, like finding a proper nursing home."
sw2012.mrg,A,15,"I think they prey on people's inherent politeness on the phone. Even with a machine, I find people being kind of polite and waiting for it to finish what it has to say, and then they feel an obligation to respond, even though there's not even a problem."
sw2027.mrg,B,16,warehouse and at that point the warehouse was over at Crosby Road and it wasn't air conditioned and we were there like in the middle of the summer it's un-air conditioned it was dusty and dirty there was like a fan at the very end of the row and that was it and so we didn't really know we weren't supposed to we thought TI dress code was just dress appropriate to your job
sw2010.mrg,B,50,"I think his heart was in it, but I don't think he really knew it was going to be as big as it was. I think it was something that he really wanted to do. He wanted to direct it. He wanted to star in it. He enjoyed the storyline, and I think he really wanted it. Whether it won all kinds of awards or whether it just was okay at the box office, I think he would have been happy because I think he did a good job, and the self-satisfaction he got out of it is much greater than any awards that they can give him."
sw2005.mrg,A,65,"So, I mean, I truly wish that if something like that were to happen, that my children would do something like that for me."
sw2032.mrg,A,135,"So it's like nothing happened during the 70s. Everything happened during the 60s. The 70s, I don't know what they're called. The 80s are called the progressive years or the technology years because of all the computers and stuff."
sw2028.mrg,A,125,"Taking care of our – I'm actually in the air division, and we monitor anything that comes out of the back or out of the building. We do have customers that their concerns are in the workplace, and we take care of that within our department. We take care of everything, wastewater, solid waste, recycling, and their"
sw2005.mrg,A,47,"I think that they had a great deal of all the brothers and sisters got together, and they actually had a conference."
sw2022.mrg,B,52,"Uh-huh. That sounds interesting. We've never done it. We have, you know, just our life insurance guy. It's come out, you know, and he's set up a, you know, determined how much we need to, you know, we need if something were to happen."
sw2005.mrg,B,14,"Is there something else we could have done? Checking out all the places that might be available. Of course, there's not one on every corner, especially in smaller areas, smaller areas."
sw2015.mrg,B,30,"I know, but I remember you talked about something. You started off and you said, well, let me think. You talked about the telephone calls, people coming and soliciting, selling things at the door. You said something else. I can't remember what it was. And I thought, yeah, that kind of touched a nerve right there. But we got to talking about the people coming to the front door."
sw2005.mrg,A,93,"And, I mean, but she was truly aware. I mean, I don't know how I would deal if one of my parents came with Alzheimer's or something like that, which is far more devastating."
sw2005.mrg,A,99,"And I think that one thing that they were really concerned with probably was the fact it wasn't necessarily, you know, like the quantity of care, but the quality of care."
sw2022.mrg,B,12,"We've taken how much we have, you know, write down how much we have coming in each month. And then at the beginning of the year, we sat down and determined how much we could spend. We made up different accounts. Like, you know, we've set a budget for each, you know, household expenses or food and clothing and entertainment and then our own fund money and just stuff like that. And then we write down each time we spend something, we write down in a book, and at the end of the month, we tallied up to see how close we, you know, we try to stay within a certain budget."
sw2022.mrg,B,54,"Right. Yeah, you know, I would sell, you know, if something happened to him, I wouldn't stay in Texas. I would sell the house and move back home, you know, to my hometown. And I wouldn't stay here in Texas. So, you know, I don't know what he would do, but."
sw2012.mrg,A,61,"Yes. And one of the problems with the Lotus database was that it was uncontrolled access to who would have that information. I mean, they said they would give it out to only select companies, but just like software is only given out to customers, you can't believe that."
sw2024.mrg,B,18,"I bet that would be rather interesting. That's self-improvement. That's kind of a hobby, but it is self-improvement from the standpoint of probably relaxing yourself."
sw2020.mrg,B,120,"Yeah, it becomes a kind of music of its own. I mean, when you listen to it, I think that they don't use, some of it, they use electronic and acoustic interchangeably."
sw2005.mrg,A,155,"And I think that we may not, you know, that maybe, you know, perhaps if we put money on the back burner, that may choose to alleviate a lot of the problems."
sw2005.mrg,A,29,"I mean, she had children all across the United States."
sw2020.mrg,B,32,and it was about the piece of music the piece of music was about I think about 40 or 50 years old and it was incredible I mean the parallels you know between
sw2022.mrg,A,45,"Yeah. The other thing that we've done that was really nice to see, we had one of the financial companies, John Hancock Company, came out, and their agents did a long-term analysis based on salary and what our goals were on a long-term budget in terms of retirement, kids' college, paying off the house, buying a different house, special thing, buying land and building"
sw2020.mrg,B,34,"and you listen a lot. If you hear a lot of old gospel, especially, well, the black gospel, you know, you will, you know, you can really pick it up. Yeah, you will."
sw2012.mrg,A,99,"Well, the other classic example is the Jehovah's Witness or Mormons or someone knocking at the front door, which is more intrusive because I have to really tell someone to go away, and there's that sense of I have now opened my door. They now see what I look like, what I live like, and they're doing something that normally I really only invite people to."
sw2015.mrg,B,18,"I would have stopped at some of them as far as the door-to-door, either religious groups or people selling products. If I wanted their product, I would have either gone to the store to buy it or I would have called for the salesman to come out. Mm-hmm. Mm-hmm. Yeah, that's true. Living in an apartment complex, though, you know, you can't really stop those people from coming around, even though they put up signs out front that says no solicitations. But they still come up to the front door and, you know, walk around. So usually what I do is I'll call the apartment manager and tell them, hey, there's people coming around, you know, and they're trying to sell something or they're from a religious organization. And I really hate that. I really, really do. I had somebody come to the door about two weeks ago. And, gosh, it was about 9 o'clock at night, too. It wasn't even what I would consider, you know, a family hour. It was time to, you know, start going to bed. And it was somebody from, what was it, the Jesus Christ of Latter-day Saints. and I've read a lot about that particular sect and I don't particularly care for it. So I especially don't like for them to come up to my door and try and talk to me."
sw2027.mrg,A,65,"I am. I work faster. I get things done faster than when I'm in a dress and heels. And it's weird, but I can. I can get so much more done if I'm dressed comfortably."
sw2028.mrg,A,147,"and our chemical database so that we know every chemical on the site and its concentration. And if anything ever happened, God forbid, you know, a building explosion or something like that, we'd be able to track chemicals from that building with our webcast"
sw2008.mrg,B,62,"Yeah, yeah. So I'm, you know, like right now, today was about, you know, the 50s."
sw2018.mrg,B,61,"or a lot of women I know now, and one of my supervisors, when she went on LOA to have her baby, we hooked up a terminal at her house, and we could send her messages, and she kept in touch like that. And basically to"
sw2027.mrg,A,79,"Well, I don't know. I just figure, you know, sometimes I worry about, you know, if I go in in pants. And I never, I never, ever, ever go in in a pair of jeans, you know. But I'll go in in pants. I mean, today I had on a pair of, you know, navy blue dress slacks and like a peach-colored top. And, you know, not cruddy, but not a dress either. And sometimes I wonder if stuff like that will hold you back, you know, if you don't dress and, you know, you're dressed for success business suits every day. If upper management doesn't notice that and remember that later on, I don't know if they do or not. I see a lot of the managers, and they're in jeans."
sw2022.mrg,A,21,"That's a good choice. We're trying to do that this year. We've budgeted the money that we used to spend. We were spending on a CODA account with TI, and then money we were also buying stock with for that year. We've taken that this year and said we're going to pay off all of our credit cards."
sw2012.mrg,B,98,"That's interesting. Are there any other specific things that you feel like, where you feel your privacy to be invaded on a day-to-day basis, or either on a growing frequency?"
sw2020.mrg,A,3,"Well, I mostly listen to popular music. I listen to it all the time in my car, so I tend to be one of those people who switches stations a lot because I don't like commercials. But I find myself listening to popular music."
sw2012.mrg,A,87,"alone. Whereas in this country, where everyone respects the closed doors very much, if you go out and act like the lunatic, you violate the norms of public behavior, people start paying attention to you very much and they start asking questions and in a sense are invading your privacy. Although, if you know what the social norms are, you know, quote unquote you asked for it. But it does mean that you have yet another reason to follow a set of social"
sw2005.mrg,B,8,"So I was very comfortable in doing it when it got to the point that we had to do it. But I had an occasion for my mother-in-law. It fell. It needed to be, you know, it could not take care of itself anymore. It was confined to a nursing home for a while. It was really not a very good experience. It had to be done in a hurry. I mean, we didn't have, you know, like six months to check all these places out. And it was really not a very good deal."
sw2012.mrg,A,63,it would be pirated and they wouldn't bother to check that carefully anyway to someone who is offering full cash price
sw2020.mrg,B,24,"I have strong objections to that. Actually, I listened to, one time I remember, this was back when, even, I would say about 10 or 15 years ago. Right."
sw2015.mrg,B,20,"Yeah, yeah. No, I agree with you there. They want to choose that particular religion, and that's fine with me too. As long as they don't try and pull me in and drag me in. And I don't like the way that they do it either. And it's their mission that they do it. They go door to door and they go out into the public. And they actually have the teenagers serving two years, like you would say, like in an army, and two years in going around and doing missionary-type work. And I don't know. I just don't particularly care for that at all. And that's one thing that I feel really strongly about, though, is people coming up to my door, especially religious organizations, and wanting to try and get me to join or become interested in their religion."
sw2022.mrg,A,39,"Yeah. Mostly what we're doing, we've done the CODA account with TI where we put in so much a paycheck and then they move."
sw2015.mrg,B,22,"Yeah, that's true. Yeah, no, I don't go that far, but, yeah, I probably could do the same thing. You know, I don't have a storm door, but I'm sure I could rig up something. But, you know, I don't think that that would stop people. It's like they see that word and it says go instead of stop. Oh, goodness gracious."
sw2012.mrg,B,40,"The other side of that might be if someone found out something or surmised something that weren't true, then I would feel probably more invaded in the gossipy sort of sense."
sw2008.mrg,B,2,"Let's see, what did I wear to work today? Actually, I wore corduroy shorts with a white blouse and flat shoes."
sw2024.mrg,B,4,"I have a wide variety of hobbies, therefore my reading pleasures are quite wide. I get a charge out of Texas Highway, which is very colorful, and not being a native of Texas, but being here 11 years, I have a tendency to find out about the different areas of the state biologically."
sw2010.mrg,A,23,well the interesting thing was that i've heard that in act i'd i think i think overreacted caitlin somebody tells me that great in and the thing is that the people
sw2008.mrg,B,18,"So I predominantly wear flat shoes. You know, in the winter I wear sweaters. In the summer, you know, I like one-piece dresses, short sleeves, things like that."
sw2008.mrg,B,6,"I do vary. You know, I wear suits, I wear skirts and sweaters. On occasion I can wear jeans."
sw2005.mrg,A,127,"But I guess as we become more industrialized and less in a rural situation, we choose not to deal with the extended family because we feel it's kind of cumbersome, when in reality it makes things much, much harder."
sw2020.mrg,B,64,"really old. I mean, there are so many different songs. I mean, like the whole thing about cover versions a lot of times. I mean, I've heard some songs that I just thought were horrendous cover versions, and I'm like, you know, I don't want to listen to this. Because, you know, you think of the original, it's like, you know, it's like, you know,"
sw2012.mrg,A,65,"for it. You can't tell what a company really has to do with it. There's something rather ominous about having virtually any hacker being able to know what your income is, what your spending habits are. That hacker just has to get in touch with a sneak thief. What started as an invasion of privacy could be an invasion of your own."
sw2012.mrg,A,101,"because anyone, any friend, anyone I give my number to is welcome to call me, but no one is just welcome to come by my house. So that is more of a sense."
sw2008.mrg,B,48,"In fact, I just got a new outfit as a gift that it's one of those skorts. You know, it's shorts, but it looks like a skirt."
sw2005.mrg,B,2,"Well, of course, it's one of the last few things in the world you'd ever want to do, unless it's just really for their own good."
